speakers,clean_name,race,job,party,gender,pct_scored
SEN JEFF SESSIONS,Sen Jeff,,,,,0
SEN JIM INHOFE,Sen Jim,,,,,0
SEN JOE LIEBERMAN,Sen Joe,,,,,0
SEN JOE MANCHIN,Sen Joe,,,,,0
SEN JOHN CORNYN,Sen John,,,,,0
SEN JOHN McCAIN,Sen John,,,,,0
SEN JOHN MCCAIN,Sen John,,,,,0
SEN JOHN McCain,Sen John,,,,,0
SEN JOHN THUNE,Sen John,,,,,0
SEN JOHNNY ISAKSON,Sen Johnny,,,,,0
SEN JON TESTER,Sen Jon,,,,,0
SEN JONI ERNST,Sen Joni,,,,,0
SEN KAMALA HARRIS,Sen Kamala,,,,,0
SEN KELLY AYOTTE,Sen Kelly,,,,,0
SEN KIRSTEN GILLIBRAND,Sen Kirsten,,,,,0
SEN LAMAR ALEXANDER,Sen Lamar,,,,,0
SEN LINDSEY GRAHAM,Sen Lindsey,,,,,0
SEN LISA MURKOWSKI,Sen Lisa,,,,,0
SEN MARCO RUBIO,Sen Marco,,,,,0
SEN MARK WARNER,Sen Mark,,,,,0
SEN MICHAEL BENNET,Sen Michael,,,,,0
SEN MIKE LEE,Sen Mike,,,,,0
SEN MITCH MCCONNELL,Sen Mitch,,,,,0
SEN MITCH McCONNELL,Sen Mitch,,,,,0
Sen Mitch McConnell,Sen Mitch,,,,,0
SEN MITCH McCONNELL R KY,Sen Mitch,,,,,0
SEN PAT TOOMEY,Sen Pat,,,,,0
SEN RAND PAUL,Sen Rand,,,,,0
SEN RAND PAUL R KY,Sen Rand,,,,,0
SEN RICHARD BURR,Sen Richard,,,,,0
SEN RICHARD SHELBY,Sen Richard,,,,,0
SEN ROB PORTMAN,Sen Rob,,,,,0
SEN ROGER WICKER,Sen Roger,,,,,0
SEN RON JOHNSON,Sen Ron,,,,,0
SEN ROY BLUNT,Sen Roy,,,,,0
SEN SHELLEY MOORE CAPITO,Sen Shelley,,,,,0
SEN SHERROD BROWN,Sen Sherrod,,,,,0
SEN SHERROD BROWN D OH,Sen Sherrod,,,,,0
SEN SUSAN COLLINS,Sen Susan,,,,,0
SEN TED CRUZ,Sen Ted,,,,,0
SEN TED CRUZ ON TAPE,Sen Ted,,,,,0
SEN TIM KAINE,Sen Tim,,,,,0
SEN TIM SCOTT,Sen Tim,,,,,0
SEN TOM COTTON,Sen Tom,,,,,0
SEN VAN HOLLEN,Sen Van,,,,,0
SENATOR AMY KLOBUCHAR,Senator Amy,,,,,0
SENATOR ANGUS KING,Senator Angus,,,,,0
SENATOR BERNIE SANDERS,Senator Bernie,white,elected,ind,male,1
SENATOR BOB CORKER,Senator Bob,,,,,0
SENATOR BOOKER,Senator Booker,,,,,0
SENATOR CHUCK SCHUMER,Senator Chuck,,,,,0
SENATOR CLAIRE MCCASKILL,Senator Claire,,,,,0
SENATOR CORY BOOKER,Senator Cory,,,,,0
SENATOR CORY BOOKER ON TAPE,Cory Booker,black,elected,dem,male,1
SENATOR DIANNE FEINSTEIN,Senator Dianne,,,,,0
SENATOR ELIZABETH WARREN,Senator Elizabeth,,,,,0
Senator Feinstein,Senator Feinstein,,,,,0
SENATOR JACK REED,Senator Jack,,,,,0
SENATOR JEFF FLAKE,Senator Jeff,,,,,0
SENATOR JOHN BARRASSO,Senator John,,,,,0
SENATOR JOHN MCCAIN,Senator John,,,,,0
SENATOR LINDSEY GRAHAM,Senator Lindsey,,,,,0
SENATOR MARCO RUBIO,Senator Marco,,,,,0
SENATOR MCCARTHY,Senator Mccarthy,,,,,0
SENATOR MICHAEL BENNET,Senator Michael,,,,,0
SENATOR MITCH MCCONNELL,Senator Mitch,,,,,0
SENATOR PAT TOOMEY,Senator Pat,,,,,0
SENATOR RAND PAUL,Senator Rand,,,,,0
SENATOR ROY BLUNT,Senator Roy,,,,,0
SENATOR SUSAN COLLINS,Senator Susan,,,,,0
SENATOR TED CRUZ,Senator Ted,,,,,0
SENATOR TIM KAINE,Senator Tim,,,,,0
SENATOR TOM COTTON,Senator Tom,,,,,0
SERGEI LAVROV,Sergei Lavrov,,,,,0
SETH MEYERS,Seth Meyers,,,,,0
SETH MEYERS ON TAPE,Seth Meyers,,,,,0
SETH MNOOKIN,Seth Mnookin,,,,,0
SHADI HAMID,Shadi Hamid,,,,,0
SHAQUILLE BREWSTER,Shaquille Brewster,,,,,0
SHELDON ADELSON,Sheldon Adelson,,,,,0
SHERRILYN IFILL,Sherrilyn Ifill,,,,,0
SHERROD BROWN,Sherrod Brown,,,,,0
SHIRLEY CHISHOLM,Shirley Chisholm,,,,,0
SHOUT FROM CROWD,Shout From,,,,,0
Simple question,Simple Question,,,,,0
SINGING VOICES,Singing Voices,,,,,0
SNL ACTOR,Snl Actor,,,,,0
So Friday at 3,So Friday,,,,,0
SPEAKER JOHN BOEHNER,Speaker John,,,,,0
SPEAKER PAUL RYAN,Speaker Paul,,,,,0
SPENCE JACKSON,Spence Jackson,,,,,0
SPIKE LEE,Spike Lee,,,,,0
SPORTS ANNOUNCER,Sports Announcer,,,,,0
STEPHANIE CUTTER,Stephanie Cutter,,,,,0
STEPHANIE RAWLINGS BLAKE,Stephanie Rawlings,,,,,0
STEPHEN COLBERT,Stephen Colbert,,,,,0
STEPHEN HADLEY,Stephen Hadley,,,,,0
STEPHEN HAYES,Stephen Hayes,,,,,0
STEPHEN HENDERSON,Stephen Henderson,,,,,0
STEPHEN MILLER,Stephen Miller,,,,,0
STEVE BANNON,Steve Bannon,,,,,0
STEVE DEACE,Steve Deace,,,,,0
STEVE KENNEDY,Steve Kennedy,,,,,0
STEVE KORNACKI,Steve Kornacki,,,,,0
STEVE SCHMIDT,Steve Schmidt,,,,,0
STEVEN BAZZILLA,Steven Bazzilla,,,,,0
STEVEN JACOBS,Steven Jacobs,,,,,0
STEVEN LAW,Steven Law,,,,,0
STONE PHILLIPS,Stone Phillips,,,,,0
STORE OWNER,Store Owner,,,,,0
STUART STEVENS,Stuart Stevens,,,,,0
SUMMER ZERVOS,Summer Zervos,,,,,0
SUSAN PAGE,Susan Page,,,,,0
SUSAN RICE,Susan Rice,,,,,0
SUSAN RICE ON TAPE,Susan Rice,,,,,0
TA NEHISI COATES,Ta Nehisi,,,,,0
Tahera Ahmad,Tahera Ahmad,,,,,0
TAVIS SMILEY,Tavis Smiley,,,,,0
TED CRUZ,Ted Cruz,,,,,0
TED CRUZ TAPE,Ted Cruz,,,,,0
TED KOPPEL,Ted Koppel,,,,,0
TED NUGENT,Ted Nugent,,,,,0
TED OLSON,Ted Olson,,,,,0
TERRY MCAULIFFE,Terry Mcauliffe,,,,,0
THEN GOVERNOR BILL CLINTON,Bill Clinton,white,elected,dem,male,1
THERESA CEDE,Theresa Cede,,,,,0
THERESA MAY,Theresa May,,,,,0
This Sunday,This Sunday,,,,,0
THOM TILLIS,Thom Tillis,,,,,0
THOMAS FRIEDMAN,Thomas Friedman,,,,,0
THOMAS HANDZLIK,Thomas Handzlik,,,,,0
TIM KAINE,Tim Kaine,,,,,0
TIM RUSSERT,Tim Russert,,,,,0
TINA FEY,Tina Fey,,,,,0
TINA JOHNSON,Tina Johnson,,,,,0
TODD,Chuck Todd,white,journalist,na,male,1
TOM BARRACK,Tom Barrack,,,,,0
TOM BRADY,Tom Brady,,,,,0
TOM BROKAW,Tom Brokaw,,,,,0
Tom Brokaw,Tom Brokaw,,,,,0
TOM COSTELLO,Tom Costello,,,,,0
TOM DAVIS,Tom Davis,,,,,0
TOM DONILON,Tom Donilon,,,,,0
TOM FRIEDMAN,Tom Friedman,,,,,0
TOM HANKS,Tom Hanks,,,,,0
TOM HARKIN,Tom Harkin,,,,,0
TOM PEREZ,Tom Perez,,,,,0
Tom Perez,Tom Perez,hispanic,administration,dem,male,1
TOM PERRIELLO,Tom Perriello,white,elected,dem,male,1
TOM ROBERTSON,Tom Robertson,,,,,0
TOM VILSACK,Tom Vilsack,white,administration,dem,male,1
TOM WIDMEYER,Tom Widmeyer,,,,,0
TONI JENNINGS,Toni Jennings,,,,,0
TONY MESSENGER,Tony Messenger,,,,,0
TONY SCHWARTZ,Tony Schwartz,,,,,0
TRANSLATOR FOR BENJAMIN NETANYAHU,Benjamin Netanyahu,white,foreign leader,na,male,1
TRENT LOTT,Trent Lott,white,elected,rep,male,1
TRESA HOWELL,Tresa Howell,,,,,0
TREY GOWDY,Trey Gowdy,white,elected,rep,male,1
TRYMAINE LEE,Trymaine Lee,,,,,0
TUCKER CARLSON,Tucker Carlson,white,pundit,rep,male,1
TY COBBS,Ty Cobbs,,,,,0
UNIDENTIFIED PERSON PLAYING STEVE BANNON,Unidentified Person,,na,,,0.25
VA SECRETARY ROBERT MCDONALD,Robert McDonald,white,cabinet,dem,male,1
VAUGHN HILLYARD,Vaughn Hillyard,,,,,0
VICE PRESIDENT ELECT MIKE PENCE,Mike Pence,white,elected,rep,male,1
VICE PRESIDENT JOE BIDEN,Joe Biden,white,elected,dem,male,1
VICE PRESIDENT MIKE PENCE,Mike Pence,white,elected,rep,male,1
VICKI KENNEDY,Vicki Kennedy,,,,,0
VINCE WILFORK,Vince Wilfork,,,,,0
VLADIMIR PUTIN,Vladimir Putin,,,,,0
VOICE OF SAVANNAH GUTHRIE,Savannah Guthrie,Savannah ,,,,0.25
WENDY SHERMAN,Wendy Sherman,,,,,0
WES MOORE,Wes Moore,,,,,0
WIFE OF KEITH LAMONT SCOTT,Wife Of Keith Lamont Scott,,,,,0
WILL FERRELL,Will Ferrell,white,entertainer,dam,male,1
WILL WEATHERFORD,Will Weatherford,,,,,0
WILLIAM JOHNSON,William Johnson,,,,,0
WILLIAM M DALEY,Bill Daily,white,administration,dem,male,1
WILLIAM MCCANTS,William Mccants,,,,,0
WILLIAM P BUDDY SWIFT III,William P Buddy Swift,,,,,0
WOLF BLITZER,Wolf Blitzer,white,journalist,na,male,1
YAMICHE ALCINDOR,Yamiche Alcindor,black,pundit,dem,female,1
YAMICHE GERSON,Yamiche Gerson,,,,,0
ZBIGNIEW BRZEZINSKI,Zbigniew Brzezinski,white,administration,dem,male,1
Zbigniew Brzezinski,Zbigniew Brzezinski,white,administration,dem,male,1
